name,code,population,lat,long,name,,
אדמית,1068,209,33.078842,35.20951,אדמית,,
אור הנר,67,754,31.556197,34.602305,אור הנר,,
אורטל,4013,343,33.086236,35.758661,אורטל,,
אורים,403,493,31.304094,34.524868,אורים,,
אושה,278,492,32.796458,35.114584,אושה,,
אייל,716,522,32.210711,34.978259,אייל,,
אילון,294,1020,33.062526,35.219162,אילון,,
אילות,1126,317,29.580548,34.963023,אילות,,
אילת השחר,77,1134,33.021115,35.576732,אילת השחר,,
אלומות,330,410,32.706628,35.546088,אלומות,,
אלונים,285,504,32.721459,35.143399,אלונים,,
אליפז,1248,152,29.796248,35.012094,אליפז,,
אלמוג,3556,253,31.790034,35.461968,אלמוג,,
אלרום,4003,392,33.180519,35.770095,אלרום,,
אפיק,4301,329,32.779428,35.702994,אפיק,,
אפיקים,176,1494,32.680564,35.57773,אפיקים,,
אפק,313,684,32.838316,35.12778,אפק,,
ארז,714,517,31.55984,34.564889,ארז,,
אשדות יעקב איחוד,199,981,32.65877,35.579637,אשדות יעקב איחוד,,
אשדות יעקב מאוחד,188,513,32.664808,35.582769,אשדות יעקב מאוחד,,
אשבל,1276,125,32.876984,35.30601,אשבל,,
בארי,399,1037,31.424513,34.492567,בארי,,
בחן,2043,1054,32.351831,35.018542,בחן,,
בית אורן,317,467,32.731601,35.00632,בית אורן,,
בית אלפא,95,692,32.516357,35.430499,בית אלפא,,
בית גוברין,619,426,31.61288,34.895568,בית גוברין,,
בית העמק,572,553,32.971014,35.145305,בית העמק,,
בית הערבה,3645,290,31.807762,35.476411,בית הערבה,,
בית השיטה,242,1264,32.550874,35.439351,בית השיטה,,
בית זרע,143,590,32.689296,35.574062,בית זרע,,
בית ניר,16,612,31.647627,34.873107,בית ניר,,
בית קמה,598,1396,31.446566,34.762248,בית קמה,,
בית קשת,365,706,32.718446,35.394952,בית קשת,,
ברור חיל,428,986,31.556985,34.646547,ברור חיל,,
ברעם,667,590,33.058979,35.433235,ברעם,,
ברקאי,617,542,32.476096,35.031044,ברקאי,,
גבולות,352,344,31.211168,34.466199,גבולות,,
גבים,424,623,31.506273,34.598949,גבים,,
גבע,86,628,32.56653,35.37216,גבע,,
גבעת ברנר,147,2703,31.86661,34.802254,גבעת ברנר,,
גבעת השלושה,870,857,32.09634,34.920628,גבעת השלושה,,
גבעת חיים איחוד,173,1006,32.392148,34.929447,גבעת חיים איחוד,,
גבעת חיים מאוחד,173,1006,32.392148,34.929447,גבעת חיים מאוחד,,
גבעת עוז,703,474,32.555934,35.198004,גבעת עוז,,
גברעם,342,470,31.59223,34.612277,גברעם,,", "
גבת,133,935,32.67656,35.213151,גבת,,
גדות,35,441,33.018208,35.619547,גדות,,
גונן,852,370,33.1240353,35.6461519,גונן,,
גזית,457,725,32.639307,35.446239,גזית,,
גזר,370,286,31.876349,34.92111,גזר,,
גילגל,3606,178,32.0747282,34.7672321,גילגל,,
גלאון,393,549,31.633371,34.848898,גלאון,,
גליל ים,346,520,32.158797,34.831876,גליל ים,,
גלעד,369,490,32.558075,35.076559,גלעד,,
גן שמואל,72,929,32.452911,34.949311,גן שמואל,,
גנוסר,262,593,32.848666,35.523152,גנוסר,,
גניגר,92,707,32.663419,35.259861,גניגר,,
געש,842,763,32.228477,34.824411,געש,,
געתון,463,693,33.006075,35.213831,געתון,,
גרופית,1129,248,29.941617,35.064691,גרופית,,
גשור,4022,283,32.819941,35.715708,גשור,,
גשר,305,421,32.621205,35.550376,גשר,,
גשר הזיו,574,1644,33.040532,35.110563,גשר הזיו,,
גת,340,827,31.627796,34.794112,גת,,
דביר,849,999,31.411699,34.825177,דביר,,
דברת,407,439,32.646729,35.350085,דברת,,
דגניה א',62,538,32.706938,35.575062,דגניה א',,
דגניה ב',79,655,32.69907,35.577551,דגניה ב',,
דורות,336,822,31.507207,34.645725,דורות,,
דליה,300,801,32.58925,35.076965,דליה,,
דן,303,732,33.239745,35.653803,דן,,
דפנה,302,965,33.23075,35.638268,דפנה,,
האון,702,181,32.726748,35.622665,האון,,
הבונים,675,349,32.636586,34.932704,הבונים,,
הגושרים,356,809,33.221485,35.623028,הגושרים,,
הזורע,250,876,32.644516,35.11918,הזורע,,
החותרים,434,809,32.752311,34.957545,החותרים,,
המעפיל,377,855,32.378035,34.983146,המעפיל,,
הסוללים,677,927,32.751802,35.238022,הסוללים,,
העוגן,423,908,32.360437,34.923338,העוגן,,
הראל,464,269,31.808975,34.947959,הראל,,
הרדוף,1249,1106,32.763717,35.174663,הרדוף,,
זיקים,584,809,31.607204,34.520968,זיקים,,
